column name,fill type
LotFrontage,mode
Alley,none
MasVnrType,none
MasVnrArea,zero
BsmtQual,none
BsmtCond,none
BsmtExposure,none
BsmtFinType1,none
BsmtFinType2,none
Electrical,mode
FireplaceQu,none
GarageType,none
GarageYrBlt,zero
GarageFinish,none
GarageQual,none
GarageCond,none
PoolQC,none
Fence,none
MiscFeature,none
MSZoning,mode
Exterior1st,mode
Exterior2nd,mode
BsmtFinSF1,zero
BsmtFinSF2,zero
BsmtUnfSF,zero
TotalBsmtSF,zero
BsmtFullBath,zero
BsmtHalfBath,zero
KitchenQual,mode
Functional,mode
GarageCars,zero
GarageArea,zero
SaleType,mode
